BID,RP_norm,RP_area_raw,SPLIT_SEQ,Area_Mult,RP_area_adjusted,RP_area_pctile,SolarAcMEAN,AspectMEANBID,aspect_north_factor,combined_solar,solar_risk,solar_push,RP_solar_only,SlopeMEAN50ft,slope_risk,slope_push,wetland_push,RP_final,RP_S_norm,RP_S_area_raw,RP_S_area_adjusted,RP_S_area_pctile,RP_S_final,CI,zone_count,water_type,SpringChinookRID,salmon_present,salmon_species,Fish_simple,SR_Zone,PADUS_Manager,Manager_Category,BFW,BFW_class,is_hmz,Priority_Tier,Zoning_Group,CITY_UGA,COUNTY_NM,temp_impaired,temp_impaired_cat,fecal_impaired,fecal_impaired_cat,sediment_impaired,sediment_impaired_cat,any_impaired,qc_poly_count,qc_dom_domain,qc_pct_D1,qc_mean_M,qc_mean_D,qc_mean_C,qc_mean_I,qc_mean_I_S
AC473_3,21.12,9359925.0,3,1.25,11699907.0,28.0,1052.0,229.9,-0.427,827.4,0.206,0.38,21.5,46.45,0.904,0.7,0.0,22.2,21.19,9393784.0,11742231.0,27.8,22.28,6.2,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,6,D1_Forest,100.0,0.688,0.224,0.993,0.617,0.616
AC474_1,24.1,810266.0,1,0.5,405133.0,2.7,1096.3,329.5,0.211,1212.0,0.957,2.08,26.18,16.12,0.454,0.41,0.0,26.59,23.79,800465.0,400232.0,2.7,26.24,0.7,2,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,43.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,3,D1_Forest,100.0,0.67,0.093,0.973,0.559,0.564
AC474_2,31.3,27594512.0,2,1.0,27594512.0,51.0,1096.3,187.1,-0.437,857.0,0.259,0.77,32.07,,0.5,0.62,0.0,32.69,30.7,27125259.0,27125259.0,50.1,32.06,16.1,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,43.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,13,D1_Forest,95.8,0.466,0.09,,0.432,0.44
AC474_4,26.74,9842329.0,4,1.25,12302911.0,29.1,1096.3,13.7,0.237,1226.2,0.963,2.37,29.11,22.09,0.592,0.61,0.0,29.72,26.33,9693096.0,12116369.0,28.5,29.26,8.3,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,43.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,11,D1_Forest,100.0,0.539,0.149,0.908,0.513,0.521
AC475_2,25.55,22852002.0,2,1.0,22852002.0,45.2,1067.1,4.1,0.619,1397.5,0.997,2.33,27.88,46.57,0.905,0.88,0.0,28.76,24.85,22219183.0,22219183.0,44.0,27.95,12.3,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,17,D1_Forest,100.0,0.671,0.035,0.968,0.538,0.55
AC475_3,23.73,14817484.0,3,1.25,18521855.0,39.2,1067.1,204.3,-0.499,800.7,0.166,0.35,24.08,35.36,0.802,0.71,0.0,24.79,23.84,14881966.0,18602457.0,39.0,24.91,9.7,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,13,D1_Forest,100.0,0.611,0.173,0.985,0.57,0.568
AC476_1,26.25,3968746.0,1,0.5,1984373.0,7.4,1064.6,63.8,0.088,1111.4,0.873,2.11,28.36,38.93,0.842,0.85,0.0,29.21,26.03,3934696.0,1967348.0,7.3,28.95,2.1,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,9,D1_Forest,100.0,0.624,0.043,0.983,0.528,0.533
AC476_3,27.46,2799270.0,3,1.25,3499088.0,11.0,1064.6,236.6,-0.317,896.1,0.342,0.87,28.33,33.27,0.775,0.82,0.0,29.15,28.03,2857193.0,3571491.0,11.1,29.76,3.3,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,5,D1_Forest,100.0,0.448,0.149,0.972,0.501,0.49
AC477_1,22.35,948822.0,1,0.5,474411.0,3.0,1054.8,217.9,-0.468,807.9,0.176,0.35,22.7,34.72,0.793,0.66,0.0,23.36,22.51,954827.0,477413.0,3.0,23.53,0.7,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,4,D1_Forest,100.0,0.63,0.209,0.993,0.591,0.589
AC477_2,25.16,8813365.0,2,1.0,8813365.0,22.3,1054.8,14.8,0.269,1196.9,0.948,2.17,27.33,17.06,0.479,0.46,0.0,27.79,25.01,8779201.0,8779201.0,22.1,27.62,6.1,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,11,D1_Forest,100.0,0.655,0.054,0.99,0.545,0.548
