BID,asp,af
T1163_1,41.5,0.428
AC190_1,28.0,0.155
T1167_2,205.5,-0.307
T17581_2,171.6,-0.691
AC120_2,180.2,-0.515
T1164_2,176.5,-0.733
T6066_2,261.2,-0.098
T1170_1,61.2,0.368
AC156_1,18.2,0.598
T1183_1,148.2,-0.232
T1166_2,317.1,0.412
AC191_1,44.7,0.264
AC159_3,280.2,0.073
T1168_2,299.8,0.253
T1168_1,334.0,0.411
T6066_1,230.7,-0.397
T1169_2,302.1,0.33
AC136_2,296.2,0.098
AC190_3,336.2,0.145
T6063_2,242.8,-0.194
AC163_4,184.6,-0.565
T1159_1,225.3,-0.342
T1174_2,235.8,-0.383
T1171_2,200.4,-0.637
AC23_2,294.9,0.047
AC135_3,232.4,-0.224
T1183_2,178.1,-0.349
T6059_2,260.7,-0.124
AC191_2,309.7,0.141
T1174_1,199.1,-0.311
AC136_3,250.8,-0.11
T1244_2,193.0,-0.428
T1244_1,143.2,-0.489
AC154_6,318.7,0.188
AC154_4,32.6,0.6
AC137_4,254.5,-0.106
T1171_1,137.7,-0.383
T6065_2,190.5,-0.583
T1158_2,297.0,0.23
T6065_1,144.4,-0.601
T1157_1,345.1,0.534
AC159_2,263.3,-0.026
AC190_2,209.1,-0.429
AC191_3,196.2,-0.879
T6071_2,14.8,0.758
AC153_1,335.2,0.643
T1157_2,293.8,0.223
T1150_1,4.1,0.505
T6071_1,254.2,-0.069
T6074_1,18.4,0.756
AC23_3,266.7,-0.009
T6074_2,212.7,-0.38
AC146_4,356.7,0.735
T1152_2,332.1,0.665
T1152_1,59.5,0.343
T1150_2,284.6,0.158
T6070_2,265.5,-0.038
T1158_1,204.7,-0.317
T6075_2,343.0,0.458
AC146_1,49.0,0.646
T6072_1,276.8,0.027
AC142_1,2.0,0.83
T6052_1,4.2,0.536
T6069_1,325.0,0.484
T6075_1,234.8,-0.093
AC157_1,333.2,0.431
AC146_2,277.8,0.017
AC158_2,327.1,0.368
AC154_2,325.1,0.148
T6073_1,291.7,0.104
T6073_2,358.8,0.783
T1173_2,203.7,-0.598
AC154_1,58.5,0.392
T1173_1,149.6,-0.576
AC142_4,319.6,0.353
T1178_2,354.8,0.687
T1178_1,11.6,0.563
T1177_1,341.6,0.62
T6052_2,334.2,0.501
T1177_2,278.2,0.112
T1169_1,211.6,-0.383
AC23_4,186.9,-0.785
AC154_3,293.5,0.124
AC141_3,319.7,0.316
AC140_2,301.7,0.3
AC139_1,343.7,0.627
T1179_2,286.4,0.119
T1179_1,311.2,0.302
AC137_1,10.6,0.379
AC146_3,246.7,-0.109
T6062_2,23.7,0.601
T6062_1,22.7,0.538
AC147_1,28.4,0.556
AC23_1,268.7,-0.005
AC147_4,358.9,0.528
AC157_4,235.3,-0.23
T6070_1,231.8,-0.339
AC157_3,331.2,0.251
AC137_2,302.2,0.129
AC142_3,293.6,0.103
T6069_2,301.1,0.175
AC153_5,307.0,0.347
